"loc_id","latitude","longitude"
"L10199075",42.9267657,-78.8834667
"L10199173",39.565067,-76.070192
"L10199452",52.1209511,-106.7054076
"L10200442",45.7647057,-89.5352397
"L10200537",38.5775736,-90.6029284
"L10201269",47.6820128,-122.2686458
"L10201462",40.2703425,-76.7234836
"L10201774",38.8514226,-104.83983
"L10201806",42.840779,-77.012734
"L10202108",40.5982957,-74.5438337
"L10202131",44.804604,-93.3809191
"L1020235",45.5250778,-122.8476181
"L10202571",35.132844,-82.681676
"L10202600",43.9994521,-123.1067848
"L10202725",40.3850811,-79.8827693
"L10202778",43.1143613,-76.6295582
"L10202839",29.7617323,-95.7830304
"L10202923",40.6402733,-74.0924974
"L10203230",29.6054734,-82.4248389
"L10203381",48.0930632,-123.4348086
"L10203431",40.2631659,-85.418715
"L10204285",38.9166477,-77.1931996
"L10204456",43.0640674,-77.5277388
"L1020470",46.5484721,-75.4853439
"L10204781",49.7014179,-123.159243
"L10205104",39.6158191,-105.0045038
"L10205246",49.2150952,-122.9201138
"L10205251",38.5802507,-90.3054894
"L10205466",40.2404098,-75.3918367
"L1020550",42.8068428,-80.2002487
"L10205665",45.4766277,-122.8927311
"L10205769",42.428531,-72.110488
"L10205825",32.7235561,-80.0707138
"L10206186",42.4552609,-83.3256838
"L10206494",38.8218063,-77.2341163
"L10206703",39.8750652,-105.0999725
"L10206717",40.2219513,-74.9584633
"L10206799",29.6828071,-98.0744396
"L10207017",29.6041991,-98.53934
"L10207101",42.0629256,-70.8426891
"L10207168",36.7891517,-121.6573834
"L10207262",42.1780167,-71.3414506
"L10207268",41.5675405,-93.7713273
"L10207341",33.4818695,-117.7025833
"L10207384",40.6400664,-111.8243247
"L10208136",42.7768825,-96.9287832
"L10208145",42.3897109,-83.463926
"L10208345",43.1949146,-70.5914158
"L10208449",38.5972898,-90.4967164
"L10208622",28.6420221,-81.4469323
"L10208753",44.752966,-85.7529842
"L1020879",42.5898045,-71.3486052
"L10208821",43.0830176,-79.7237009
"L10208880",33.8984454,-84.3659315
"L10209784",32.5979484,-108.3345557
"L10210101",36.1862873,-86.7120245
"L10210329",43.6764234,-79.2795627
"L1021036",37.3601649,-108.4006257
"L10210461",53.530437,-113.4596063
"L10210896",45.1322704,-76.0030746
"L10210994",42.297119,-82.9681189
"L10211018",42.3022229,-83.0063321
"L1021152",43.1278038,-77.5637589
"L10212753",44.0750895,-77.3681955
"L10212805",41.534511,-73.9079851
"L10212908",41.0559516,-80.6685196
"L10212952",40.4501872,-79.9083162
"L10213073",42.1226334,-82.8620625
"L10213293",45.6768746,-108.9163299
"L10213294",45.6768746,-108.9163299
"L10213981",32.4897708,-107.9834058
"L10214013",45.3308274,-75.7887075
"L10214096",45.4828304,-122.8132812
"L10214521",42.6564963,-70.6095265
"L10214912",41.4872247,-81.8434611
"L10215149",33.1613311,-97.0971639
"L10215291",39.8664431,-75.4823755
"L10215367",38.8801042,-77.1318204
